상호명,시군구명,위도,경도,cluster_kmeans5,stability
도봉구청,도봉구,37.66950348,127.046038,2,0.876
쌍문,도봉구,37.649424,127.035577,2,0.879
쌍문도봉로,도봉구,37.6453516,127.0331011,2,0.883
도봉로DT,도봉구,37.66118059,127.0416301,4,0.893
방학역,도봉구,37.6653125,127.0433125,2,0.884
창동역,도봉구,37.65409007,127.0495023,2,0.879
노량진동,동작구,37.513068,126.946537,2,0.883
남성역,동작구,37.4841198,126.9725739,2,0.88
상도역,동작구,37.5031936,126.9484581,2,0.882
보라매공원R,동작구,37.49191014,126.9235484,2,0.879
이수자이,동작구,37.484414,126.980047,1,0.562
노량진역,동작구,37.51339,126.940879,2,0.766
신대방삼거리역,동작구,37.50034872,126.9319876,2,0.881
중앙대,동작구,37.506933,126.958125,4,0.888
숭실대입구역,동작구,37.4968346,126.9527123,2,0.885
숭실대,동작구,37.49538073,126.9548891,2,0.881
사당역,동작구,37.47849216,126.9813456,1,0.836
상도대로,동작구,37.50504793,126.9428938,2,0.875
이수역13번출구,동작구,37.48733712,126.9814933,1,0.563
장승배기역,동작구,37.50580826,126.9392436,2,0.875
서강대프라자,마포구,37.55102697,126.9431337,2,0.865
상암YTN,마포구,37.57931427,126.8922104,1,0.626
마포용강동,마포구,37.541186,126.942209,2,0.88
홍대입구역사거리R,마포구,37.554636,126.92036,3,0.908
마포경찰서후문,마포구,37.5508,126.953432,2,0.793
공덕,마포구,37.545913,126.952956,1,0.792
합정폴리스R,마포구,37.5509,126.9134,1,0.828
홍대공항철도역,마포구,37.557491,126.925146,3,0.904
마포염리,마포구,37.543876,126.94768,1,0.84
서강광흥창역,마포구,37.549377,126.931661,2,0.881
합정,마포구,37.54997888,126.9125404,1,0.847
서강대흥역,마포구,37.548178,126.941576,2,0.873
서교동사거리,마포구,37.553376,126.918564,3,0.639
상암사보이시티,마포구,37.58146221,126.8887855,4,0.678
신촌오거리,마포구,37.555137,126.934694,1,0.818
상암디지털큐브,마포구,37.57613522,126.8889264,4,0.907
상수역,마포구,37.5474817,126.9232158,1,0.696
공덕오거리,마포구,37.5424641,126.9505773,1,0.857
서강대,마포구,37.5524584,126.9378262,2,0.827
상암MBC,마포구,37.58094224,126.8915854,1,0.516
홍대역,마포구,37.557175,126.923654,3,0.896
동교,마포구,37.556928,126.919819,3,0.584
애오개역,마포구,37.55229379,126.9557935,2,0.87
상암DMC,마포구,37.57770032,126.8909364,4,0.245
마포일진빌딩,마포구,37.54043451,126.9463168,1,0.813
마포아크로,마포구,37.54133484,126.9488666,1,0.844
홍대삼거리,마포구,37.55026561,126.9232087,1,0.849
망원역,마포구,37.555829,126.910637,1,0.73
마포이마트,마포구,37.542421,126.953341,1,0.801
합정메세나몰,마포구,37.55005847,126.9135588,1,0.849
아현역대로,마포구,37.5571701,126.9549079,2,0.876
디지털미디어시티역,마포구,37.57614873,126.8989479,2,0.88
홍대역8번출구,마포구,37.5567435,126.9241665,3,0.907
