상호명,cluster_A,cluster_B
이마빌딩,1,3
마로니에공원,1,3
종로3가,3,0
대학로,4,2
경복궁사거리,1,1
종로관수,3,0
그랑서울,3,0
광화문교보문고,3,0
광장마켓,1,3
KT광화문웨스트B1F,3,0
정동,2,2
종로플레이스,1,1
강북삼성병원1층,2,2
동숭길입구,1,3
서울대치과병원,4,2
서대문적십자,1,3
리저브광화문,3,0
서대문역,1,3
숭례문북창,3,0
을지로4가역,1,3
동대문두타,1,3
대한상공회의소R,3,0
국립중앙의료원,1,3
동국대,1,3
동대문공원,1,3
을지로국제빌딩,3,0
동대입구역,2,2
신당역사거리,1,3
연세세브란스,3,0
회현역,1,3
을지로경기빌딩,3,0
을지로2가,3,0
신세계본점6F,3,0
서울중앙우체국,3,0
한국프레스센터,3,0
명동중앙로,3,0
약수역,2,2
중구저동,3,0
명동길,3,0
서소문로,1,0
신당역,1,3
명동메트로,3,0
숭례문,3,0
순화동더샵,1,0
환구단,3,0
무교동,3,0
문화일보,1,3
태평로,3,0
퍼시픽타워,3,0
남산단암,3,0
황학캐슬,2,2
을지로삼화타워,3,0
소공로,3,0
을지로한국빌딩,3,0
시청,3,0
명동역,3,0
장충라운지R,2,2
충무로,1,3
이마트타워,1,3
동호로,2,2
무교로,3,0
청계크리스탈스퀘어,3,0
그랜드센트럴,3,0
세종대로,3,0
시청역11번출구,1,0
동대문디자인플라자,1,3
우리은행본점B1F,3,0
별다방,3,0
동대문역사문화공원역,1,3
포포인츠명동,3,0
한국은행교차로,3,0
명동남산,1,3
명일역,2,2
강동구청DT,2,2
강동암사DT,4,4
굽은다리역,2,2
강동역,2,2
둔촌동,2,2
천호이마트,1,3
길동역,2,2
상일동,4,4
명일이마트,2,2
상일동역,2,2
천호사거리,1,3
강동그란츠,1,3
강일역,2,2
올림픽공원북2문,4,4
둔촌포레온스테이션5,2,2
암사역,2,2
이케아강동,4,4
강동강일,4,4
천호대로길동,1,3
구로디지털타워,1,3
오류동역,2,2
구로디지털로,1,3
구로에이스,1,3
구로하이엔드,1,3
포포인츠구로,1,3
신도림센터포인트,2,3
구로고척,2,2
구로NC,2,2
구로오류DT,2,4
구로구청,4,4
고척아이파크,4,4
신도림힐스테이트,2,2
답십리역,2,2
경희대삼거리,4,2
신설동역,2,2
회기역사거리,1,3
장한평역,2,2
경희대,4,2
청량리역롯데캐슬스카이,1,3
경희의료원,4,2
경동1960,2,2
사이버한국외대,2,2
청량리역사,2,2
답십리초교사거리,2,2
장안사거리,4,4
외대정문,2,2
서울숲역,2,2
금호역,2,2
뚝섬역,1,3
황학사거리,4,2
성수역,1,3
상왕십리역,2,2
왕십리역,1,3
한양대,2,2
엔터식스,1,3
신금호역,2,2
뚝섬역교차로,1,3
한양대복지관,2,2
왕십리역9번출구,1,3
성수,1,3
옥수,2,2
성수낙낙,4,4
효창공원앞역,2,2
서울역서부,1,3
이태원역,2,2
용산역써밋R,1,3
이촌,4,4
신용산역,1,3
용산파크타워,2,1
남영동,2,3
한남동R,4,4
서울타워,4,4
서울역동자동,1,3
순천향입구,4,4
동빙고,4,4
숙대입구역,1,3
