상호명,시군구명,위도,경도,is_starbucks,projected_cluster
마곡보타닉게이트,강서구,37.56910032,126.8363328,1,2
가양역사거리,강서구,37.56007,126.855372,1,2
원그로브,강서구,37.56124715,126.8246555,1,2
내발산,강서구,37.55467,126.83672,1,2
마곡웰튼,강서구,37.56714289,126.8253152,1,2
김포공항국내선,강서구,37.55912618,126.8023925,1,2
김포공항DT,강서구,37.56627942,126.8060664,1,2
강서NC,강서구,37.55978003,126.8399835,1,1
김포공항국제선,강서구,37.5660449,126.8005038,1,2
마곡케이스퀘어,강서구,37.5623745,126.8269307,1,1
마곡나루공원,강서구,37.567007,126.822246,1,1
송정역,강서구,37.56105571,126.8115099,1,2
강서구청사거리,강서구,37.5549266,126.8523133,1,4
낙성대역,관악구,37.47776013,126.9611426,1,2
관악서울대입구R,관악구,37.47932481,126.952702,1,1
신림DT,관악구,37.480935,126.908407,1,4
서울대역,관악구,37.48166265,126.9520165,1,1
낙성대DT,관악구,37.47624317,126.9651172,1,2
사당,관악구,37.4760559,126.980928,1,1
보라매대교빌딩,관악구,37.491449,126.925432,1,2
신림,관악구,37.48609493,126.9291602,1,1
신림타임스트림,관악구,37.48407102,126.9302583,1,1
서울대입구역,관악구,37.48120739,126.9514006,1,1
신림녹두거리,관악구,37.4704882,126.9381587,1,2
서울대입구역8번출구,관악구,37.4812061,126.9536942,1,1
봉천역,관악구,37.48203753,126.9422878,1,2
봉천현대시장,관악구,37.48665267,126.9482961,1,4
낙성대역7번출구,관악구,37.4771331,126.9641468,1,2
건국대,광진구,37.54154747,127.0711558,1,1
어린이대공원역,광진구,37.551946,127.076404,1,2
아차산역,광진구,37.55062116,127.0900321,1,2
올림픽대교북단,광진구,37.541129,127.09524,1,4
구의DT,광진구,37.54529839,127.0871967,1,4
자양사거리,광진구,37.5371158,127.0825821,1,2
군자역,광진구,37.55702607,127.0791098,1,1
광나루,광진구,37.54737112,127.1060487,1,2
건대스타시티,광진구,37.538544,127.073009,1,1
건대입구,광진구,37.5406604,127.0707225,1,1
광장,광진구,37.54261258,127.0996405,1,2
건국클래식,광진구,37.538466,127.071271,1,1
건대로데오,광진구,37.54079664,127.0667289,1,1
강변,광진구,37.53474181,127.0919732,1,2
구의역이스트폴,광진구,37.53657397,127.087857,1,2
건대후문,광진구,37.54603056,127.0738193,1,2
중곡역,광진구,37.56505701,127.0844523,1,2
자양이마트,광진구,37.53862005,127.0734896,1,1
자양역,광진구,37.53268464,127.0678785,1,2
세종대,광진구,37.54914275,127.0750276,1,2
뚝섬한강공원,광진구,37.52833825,127.0682726,1,4
구의역,광진구,37.537063,127.085053,1,2
화양삼거리,광진구,37.54774853,127.0712692,1,1
군자사거리,광진구,37.55769507,127.0790879,1,1
금천구청역,금천구,37.45588673,126.8956825,1,2
가산에스케이,금천구,37.48082409,126.8810008,1,1
독산사거리,금천구,37.47158263,126.8986055,1,4
금천시흥,금천구,37.44875938,126.9032388,1,4
가산디지털단지역,금천구,37.48135375,126.8835891,1,1
금천독산,금천구,37.46957081,126.8956578,1,4
가산디지털,금천구,37.47997009,126.8825072,1,3
마리오아울렛,금천구,37.47860691,126.8848483,1,3
가산브이타워,금천구,37.4770041,126.8835506,1,1
독산역,금천구,37.46770967,126.887674,1,2
금천금나래,금천구,37.45868985,126.897,1,2
가산퍼블릭,금천구,37.47574363,126.886848,1,1
가산현대아울렛,금천구,37.47768044,126.8888406,1,1
가산케이에스,금천구,37.48089352,126.8851557,1,1
가산어반워크,금천구,37.48002317,126.878251,1,1
월계역,노원구,37.6295,127.0574,1,2
월계트레이더스,노원구,37.62759527,127.0619061,1,2
상계초교사거리,노원구,37.656776,127.066442,1,1
공릉DT,노원구,37.6206884,127.0743116,1,2
노원마들역,노원구,37.66108907,127.0580154,1,2
공릉역,노원구,37.626337,127.072252,1,2
은행사거리,노원구,37.65048782,127.0759793,1,4
노원KT,노원구,37.654562,127.063617,1,1
광운대,노원구,37.62317425,127.0608065,1,2
중계역,노원구,37.64817,127.062244,1,2
노원역,노원구,37.654751,127.060034,1,1
월계이마트,노원구,37.62715819,127.0620955,1,2
태릉입구역DT,노원구,37.61942,127.07932,1,1
노원상계,노원구,37.651535,127.061026,1,2
노원구청,노원구,37.6539896,127.057755,1,2
창동이마트,도봉구,37.65167649,127.0469283,1,2
덕성여대,도봉구,37.650906,127.013279,1,2
도봉구청,도봉구,37.66950348,127.046038,1,2
쌍문,도봉구,37.649424,127.035577,1,2
쌍문도봉로,도봉구,37.6453516,127.0331011,1,2
도봉로DT,도봉구,37.66118059,127.0416301,1,4
방학역,도봉구,37.6653125,127.0433125,1,2
창동역,도봉구,37.65409007,127.0495023,1,2
노량진동,동작구,37.513068,126.946537,1,2
남성역,동작구,37.4841198,126.9725739,1,2
상도역,동작구,37.5031936,126.9484581,1,2
보라매공원R,동작구,37.49191014,126.9235484,1,2
이수자이,동작구,37.484414,126.980047,1,1
노량진역,동작구,37.51339,126.940879,1,2
신대방삼거리역,동작구,37.50034872,126.9319876,1,2
중앙대,동작구,37.506933,126.958125,1,4
숭실대입구역,동작구,37.4968346,126.9527123,1,2
숭실대,동작구,37.49538073,126.9548891,1,2
사당역,동작구,37.47849216,126.9813456,1,1
