dataset,label,transform,feature_a,feature_b,pearson_r,abs_r,strong_pair
all,전체,raw,dist_nearest_subway,num_subway_500m,-0.624086,0.624086,False
all,전체,raw,num_restaurants_500m,num_retail_500m,0.62277,0.62277,False
starbucks,스타벅스,raw,nearest_subway_ridership,subway_evening_peak_500m,0.619309,0.619309,False
all,전체,transformed,num_retail_500m,low_price_cafe_count_500m,0.615489,0.615489,False
non_starbucks,비스타벅스,transformed,num_retail_500m,low_price_cafe_count_500m,0.615054,0.615054,False
all,전체,raw,num_subway_500m,subway_evening_peak_500m,0.613632,0.613632,False
all,전체,raw,num_subway_500m,subway_lunch_peak_500m,0.613491,0.613491,False
non_starbucks,비스타벅스,raw,num_subway_500m,subway_evening_peak_500m,0.612068,0.612068,False
non_starbucks,비스타벅스,raw,num_subway_500m,subway_lunch_peak_500m,0.612005,0.612005,False
starbucks,스타벅스,transformed,num_retail_500m,low_price_cafe_count_500m,0.611673,0.611673,False
non_starbucks,비스타벅스,transformed,dist_nearest_subway,subway_lunch_peak_500m,-0.609746,0.609746,False
all,전체,transformed,dist_nearest_subway,subway_lunch_peak_500m,-0.608943,0.608943,False
non_starbucks,비스타벅스,transformed,dist_nearest_subway,subway_evening_peak_500m,-0.608434,0.608434,False
all,전체,transformed,dist_nearest_subway,subway_evening_peak_500m,-0.607825,0.607825,False
non_starbucks,비스타벅스,raw,num_retail_500m,num_convenience_500m,0.605213,0.605213,False
all,전체,raw,num_retail_500m,num_convenience_500m,0.604693,0.604693,False
all,전체,transformed,independent_cafe_count_500m,other_franchise_cafe_count_500m,0.603413,0.603413,False
all,전체,raw,independent_cafe_count_500m,other_franchise_cafe_count_500m,0.603413,0.603413,False
starbucks,스타벅스,raw,nearest_subway_ridership,subway_lunch_peak_500m,0.601847,0.601847,False
non_starbucks,비스타벅스,transformed,independent_cafe_count_500m,other_franchise_cafe_count_500m,0.599729,0.599729,False
non_starbucks,비스타벅스,raw,independent_cafe_count_500m,other_franchise_cafe_count_500m,0.599729,0.599729,False
all,전체,transformed,num_offices,living_population,0.597651,0.597651,False
non_starbucks,비스타벅스,transformed,num_offices,living_population,0.596824,0.596824,False
starbucks,스타벅스,transformed,nearest_subway_ridership,subway_evening_peak_500m,0.591553,0.591553,False
starbucks,스타벅스,transformed,num_offices,living_population,0.590126,0.590126,False
non_starbucks,비스타벅스,transformed,independent_cafe_count_500m,land_price,0.589731,0.589731,False
all,전체,transformed,independent_cafe_count_500m,land_price,0.589149,0.589149,False
starbucks,스타벅스,raw,num_retail_500m,num_convenience_500m,0.586377,0.586377,False
non_starbucks,비스타벅스,raw,num_offices,land_price,0.580951,0.580951,False
all,전체,raw,num_offices,land_price,0.580912,0.580912,False
starbucks,스타벅스,transformed,nearest_subway_ridership,num_convenience_500m,0.580177,0.580177,False
starbucks,스타벅스,raw,subway_lunch_peak_500m,num_retail_500m,0.579881,0.579881,False
starbucks,스타벅스,raw,subway_evening_peak_500m,independent_cafe_count_500m,0.578752,0.578752,False
all,전체,raw,nearest_subway_ridership,subway_evening_peak_500m,0.575667,0.575667,False
starbucks,스타벅스,transformed,nearest_subway_ridership,subway_lunch_peak_500m,0.573979,0.573979,False
non_starbucks,비스타벅스,raw,nearest_subway_ridership,subway_evening_peak_500m,0.573395,0.573395,False
starbucks,스타벅스,transformed,nearest_subway_ridership,num_restaurants_500m,0.573302,0.573302,False
starbucks,스타벅스,transformed,nearest_subway_ridership,independent_cafe_count_500m,0.571484,0.571484,False
starbucks,스타벅스,raw,independent_cafe_count_500m,land_price,0.569851,0.569851,False
all,전체,raw,subway_lunch_peak_500m,num_retail_500m,0.569461,0.569461,False
all,전체,transformed,subway_evening_peak_500m,num_restaurants_500m,0.568838,0.568838,False
non_starbucks,비스타벅스,transformed,subway_evening_peak_500m,num_restaurants_500m,0.568433,0.568433,False
non_starbucks,비스타벅스,raw,subway_lunch_peak_500m,num_retail_500m,0.568098,0.568098,False
starbucks,스타벅스,raw,num_retail_500m,independent_cafe_count_500m,0.566906,0.566906,False
non_starbucks,비스타벅스,raw,num_retail_500m,independent_cafe_count_500m,0.566675,0.566675,False
all,전체,raw,num_retail_500m,independent_cafe_count_500m,0.566296,0.566296,False
starbucks,스타벅스,transformed,num_retail_500m,other_franchise_cafe_count_500m,0.56436,0.56436,False
starbucks,스타벅스,transformed,subway_evening_peak_500m,independent_cafe_count_500m,0.563888,0.563888,False
starbucks,스타벅스,raw,num_offices,land_price,0.561395,0.561395,False
