feature,lower_bound,upper_bound,outlier_count,outlier_rate,outlier_direction,상호명,시군구명,도로명주소,value
num_subway_500m,1.0,1.0,233,0.3421,high,인사,종로구,서울특별시 종로구 인사동길 14 (인사동),3.0
num_subway_500m,1.0,1.0,233,0.3421,high,한국은행교차로,중구,서울특별시 중구 남대문로 55 (남대문로2가),3.0
num_subway_500m,1.0,1.0,233,0.3421,high,연세세브란스,중구,서울특별시 중구 통일로 10 (남대문로5가),3.0
num_subway_500m,1.0,1.0,233,0.3421,high,코엑스별마당,강남구,서울특별시 강남구 영동대로 513 (삼성동),3.0
num_subway_500m,1.0,1.0,233,0.3421,high,그랜드센트럴,중구,서울특별시 중구 세종대로 14 (남대문로5가),3.0
num_subway_500m,1.0,1.0,233,0.3421,high,서울중앙우체국,중구,서울특별시 중구 소공로 70 (충무로 1가) 서울 중앙 우체국,3.0
num_subway_500m,1.0,1.0,233,0.3421,high,무교로,중구,서울특별시 중구 무교로 15 (무교동),3.0
num_subway_500m,1.0,1.0,233,0.3421,high,삼성교,강남구,"서울특별시 강남구 영동대로86길 12, 동남유화빌딩 1층",2.0
num_subway_500m,1.0,1.0,233,0.3421,high,이수역사거리,서초구,"서울특별시 서초구 서초대로 3-4 (방배동, 방배디오슈페리움1)",2.0
num_subway_500m,1.0,1.0,233,0.3421,high,아현역대로,마포구,서울특별시 마포구 신촌로 262 (아현동),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,마포아크로,마포구,서울특별시 마포구 마포대로 68 (도화동) 마포아크로타워,2.0
num_subway_500m,1.0,1.0,233,0.3421,high,강남대로신사,서초구,서울특별시 서초구 강남대로 595 (잠원동),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,강남논현,강남구,서울특별시 강남구 강남대로 512 (논현동),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,삼성역,강남구,서울특별시 강남구 테헤란로 620 (대치동),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,이수역,서초구,서울특별시 서초구 동작대로 112 (방배동),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,동작대로,서초구,서울특별시 서초구 동작대로 72 (방배동),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,뉴코아강남,서초구,서울특별시 서초구 잠원로 69 (잠원동) 킴스클럽,2.0
num_subway_500m,1.0,1.0,233,0.3421,high,방배다이치빌딩,서초구,서울특별시 서초구 방배로 114 (방배동),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,신촌로,서대문구,서울특별시 서대문구 신촌로 109 (창천동),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,서초법원,서초구,서울특별시 서초구 서초대로 274 (서초동),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,신촌역,서대문구,서울특별시 서대문구 신촌로 73 (창천동),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,경기대,서대문구,서울특별시 서대문구 충정로 53 (충정로2가),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,현대신촌,서대문구,서울특별시 서대문구 신촌로 83 (창천동),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,태릉입구역DT,노원구,서울특별시 노원구 화랑로 469 (공릉동),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,보라매대교빌딩,관악구,서울특별시 관악구 보라매로3길 23 (봉천동) 1층,2.0
num_subway_500m,1.0,1.0,233,0.3421,high,신림,관악구,서울특별시 관악구 신림로 355-1 (신림동),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,송정역,강서구,"서울특별시 강서구 공항대로 38 (공항동), 1층 일부",2.0
num_subway_500m,1.0,1.0,233,0.3421,high,이수역13번출구,동작구,"서울특별시 동작구 동작대로27길 5 (사당동), 1층",2.0
num_subway_500m,1.0,1.0,233,0.3421,high,보라매공원R,동작구,"서울특별시 동작구 보라매로5길 35 (신대방동, 파크스퀘어,보라매현대APT)",2.0
num_subway_500m,1.0,1.0,233,0.3421,high,반포역,서초구,서울특별시 서초구 신반포로 257 (잠원동) 신반포11차상가,2.0
num_subway_500m,1.0,1.0,233,0.3421,high,국기원사거리,강남구,서울특별시 강남구 테헤란로 125 (역삼동),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,삼성역섬유센터R,강남구,서울특별시 강남구 테헤란로 518 (대치동),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,봉은사로선정릉,강남구,서울특별시 강남구 봉은사로 446 (삼성동),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,청담역6번출구,강남구,서울특별시 강남구 삼성로 634 (삼성동),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,신세계푸드마켓도곡,강남구,"서울특별시 강남구 언주로30길 57, 타워팰리스Ⅱ F 지하1층 (도곡동)",2.0
num_subway_500m,1.0,1.0,233,0.3421,high,신사역성일빌딩,강남구,서울특별시 강남구 강남대로 584 (논현동),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,대한상공회의소R,중구,서울특별시 중구 세종대로 39 (남대문로4가) 1층,2.0
num_subway_500m,1.0,1.0,233,0.3421,high,을지로국제빌딩,중구,서울특별시 중구 남대문로 109 (다동),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,경희궁로,종로구,서울특별시 종로구 새문안로3길 15 (당주동),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,여의도호성,영등포구,"서울특별시 영등포구 여의대방로65길 24, 호성빌딩 1층 (여의도동)",2.0
num_subway_500m,1.0,1.0,233,0.3421,high,정부서울청사R,종로구,서울특별시 종로구 새문안로5가길 28 (적선동),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,종로수송,종로구,서울특별시 종로구 종로5길 30 (청진동) 1~3층,2.0
num_subway_500m,1.0,1.0,233,0.3421,high,광화문우체국,종로구,서울특별시 종로구 종로 6 (서린동),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,명동중앙로,중구,서울특별시 중구 명동길 60 (명동 2가),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,태평로,중구,"서울특별시 중구 세종대로 72, 대영빌딩 1층 (태평로2가)",2.0
num_subway_500m,1.0,1.0,233,0.3421,high,남산단암,중구,"서울특별시 중구 소월로 10, 단암빌딩 (남대문로5가)",2.0
num_subway_500m,1.0,1.0,233,0.3421,high,을지로삼화타워,중구,서울특별시 중구 을지로5길 16 (을지로2가) 1층,2.0
num_subway_500m,1.0,1.0,233,0.3421,high,소공로,중구,"서울특별시 중구 남대문로7길 19, 삼영빌딩 1층 일부 (소공동)",2.0
num_subway_500m,1.0,1.0,233,0.3421,high,을지로한국빌딩,중구,"서울특별시 중구 을지로 50, 1층 (을지로 2가)",2.0
num_subway_500m,1.0,1.0,233,0.3421,high,신세계본점6F,중구,서울특별시 중구 퇴계로 77 (충무로1가),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,중구저동,중구,서울특별시 중구 수표로 34 (저동2가),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,환구단,중구,서울특별시 중구 소공로 112 (소공동),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,상일동역,강동구,"서울특별시 강동구 고덕로 399 (고덕동, 고덕센트럴푸르지오)",2.0
num_subway_500m,1.0,1.0,233,0.3421,high,장충라운지R,중구,서울특별시 중구 장충단로4길 25 (장충동1가),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,시청,중구,"서울특별시 중구 을지로 19, 삼성화재삼성빌딩 1층 (을지로1가)",2.0
num_subway_500m,1.0,1.0,233,0.3421,high,청계크리스탈스퀘어,중구,서울특별시 중구 청계천로 106 (수표동),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,세종대로,중구,서울특별시 중구 세종대로 135-5 (태평로1가),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,동대문디자인플라자,중구,서울특별시 중구 을지로 281 (을지로7가) 디자인장터,2.0
num_subway_500m,1.0,1.0,233,0.3421,high,우리은행본점B1F,중구,서울특별시 중구 소공로 51 (회현동1가),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,별다방,중구,서울특별시 중구 퇴계로 100 (회현동2가),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,천호대로길동,강동구,서울특별시 강동구 천호대로 1131 거산 유팰리스,2.0
num_subway_500m,1.0,1.0,233,0.3421,high,용산이마트,용산구,서울특별시 용산구 한강대로23길 55 (한강로3가) 용산이마트 지하 2층,2.0
num_subway_500m,1.0,1.0,233,0.3421,high,뚝섬역,성동구,서울특별시 성동구 아차산로 42 (성수동1가),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,서울역서부,용산구,서울특별시 용산구 만리재로 202 (서계동),2.0
num_subway_500m,1.0,1.0,233,0.3421,high,용산역써밋R,용산구,"서울특별시 용산구 한강대로 69 (한강로2가, 용산푸르지오써밋)",2.0
num_subway_500m,1.0,1.0,233,0.3421,high,왕십리역,성동구,서울특별시 성동구 왕십리로 326 (도선동),2.0
