feature,rank_type,rank,상호명,시군구명,도로명주소,value
cafe_count_300m,top,9,혜화역,종로구,서울특별시 종로구 대학로12길 4 (동숭동)1~2층,103.0
cafe_count_300m,top,10,종로수송,종로구,서울특별시 종로구 종로5길 30 (청진동) 1~3층,102.0
cafe_count_300m,bottom,1,김포공항국제선,강서구,서울특별시 강서구 하늘길 38 (방화동),0.0
cafe_count_300m,bottom,2,김포공항국내선,강서구,서울특별시 강서구 하늘길 112 (공항동),0.0
cafe_count_300m,bottom,3,강남세곡DT,강남구,서울특별시 강남구 헌릉로 727 (세곡동),1.0
cafe_count_300m,bottom,4,서울웨이브아트센터,서초구,서울특별시 서초구 잠원로 145-35 (잠원동),1.0
cafe_count_300m,bottom,5,이대ECC,서대문구,서울특별시 서대문구 이화여대길 52 (대현동) 이화여자대학교 B415호,1.0
cafe_count_300m,bottom,6,연세백양로,서대문구,서울특별시 서대문구 연세로 50 (신촌동) 연세대학교,1.0
cafe_count_300m,bottom,7,남부순환로방배DT,서초구,서울특별시 서초구 남부순환로 2230 (방배동),2.0
cafe_count_300m,bottom,8,김포공항DT,강서구,서울특별시 강서구 개화동로 517 (방화동),2.0
cafe_count_300m,bottom,9,망원한강공원,마포구,서울특별시 마포구 마포나루길 435 (망원동),2.0
cafe_count_300m,bottom,10,뚝섬한강공원,광진구,서울특별시 광진구 강변북로 2234 (자양동),2.0
cafe_count_500m,top,1,종각,종로구,서울특별시 종로구 종로 64 (종로2가),291.0
cafe_count_500m,top,2,홍대역8번출구,마포구,서울특별시 마포구 양화로 166 (동교동),281.0
cafe_count_500m,top,3,홍대공항철도역,마포구,서울특별시 마포구 양화로 178 (동교동),280.0
cafe_count_500m,top,4,홍대동교,마포구,서울특별시 마포구 양화로 192 (동교동),278.0
cafe_count_500m,top,5,홍대역,마포구,"서울특별시 마포구 양화로 165, 상진빌딩 1층 (동교동)",278.0
cafe_count_500m,top,6,종로R,종로구,서울특별시 종로구 종로 51 (종로2가),277.0
cafe_count_500m,top,7,을지로경기빌딩,중구,서울특별시 중구 남대문로10길 9 (삼각동) 경기빌딩,269.0
cafe_count_500m,top,8,을지로삼화타워,중구,서울특별시 중구 을지로5길 16 (을지로2가) 1층,263.0
cafe_count_500m,top,9,그랑서울,종로구,서울특별시 종로구 종로 33 (청진동),257.0
cafe_count_500m,top,10,종로관철,종로구,"서울특별시 종로구 종로12길 21, 2층 (관철동)",253.0
cafe_count_500m,bottom,1,서울웨이브아트센터,서초구,서울특별시 서초구 잠원로 145-35 (잠원동),1.0
