feature,rank_type,rank,상호명,시군구명,도로명주소,value
num_convenience_500m,bottom,4,남부순환로방배DT,서초구,서울특별시 서초구 남부순환로 2230 (방배동),1.0
num_convenience_500m,bottom,5,더북한산,은평구,서울특별시 은평구 대서문길 24-11 (진관동),2.0
num_convenience_500m,bottom,6,서울웨이브아트센터,서초구,서울특별시 서초구 잠원로 145-35 (잠원동),3.0
num_convenience_500m,bottom,7,서울타워,용산구,서울특별시 용산구 남산공원길 105 (용산동2가) YTN서울타워 1층,3.0
num_convenience_500m,bottom,8,종로평창동,종로구,서울특별시 종로구 평창12길 3 (평창동),4.0
num_convenience_500m,bottom,9,이촌,용산구,서울특별시 용산구 이촌로 276 (이촌동),4.0
num_convenience_500m,bottom,10,이케아강동,강동구,서울특별시 강동구 고덕비즈밸리로 51 (고덕동),5.0
avg_income,top,1,대치역,강남구,서울특별시 강남구 남부순환로 2936 (대치동) 107호,7421305.0
avg_income,top,2,도곡역,강남구,서울특별시 강남구 남부순환로 2909 (대치동),7421305.0
avg_income,top,3,대치재경빌딩,강남구,서울특별시 강남구 남부순환로 2947 (대치동),7421305.0
avg_income,top,4,한티역,강남구,"서울특별시 강남구 도곡로 408, 디마크빌딩 101호 (대치동)",7421305.0
avg_income,top,5,반포원베일리,서초구,서울특별시 서초구 반포대로 291 (반포동),6812331.0
avg_income,top,6,매봉역,강남구,서울특별시 강남구 남부순환로 2736 (도곡동),6567504.0
avg_income,top,7,신세계푸드마켓도곡,강남구,"서울특별시 강남구 언주로30길 57, 타워팰리스Ⅱ F 지하1층 (도곡동)",6567504.0
avg_income,top,8,교대법원,서초구,서울특별시 서초구 서초중앙로 164 (서초동),6475383.0
avg_income,top,9,강남서초초교,서초구,"서울특별시 서초구 서초대로77길 27, 유빌딩 1,2층 (서초동)",6475383.0
avg_income,top,10,강남역우송빌딩,서초구,서울특별시 서초구 서초대로73길 7 (서초동),6475383.0
avg_income,bottom,1,신월IC DT,양천구,서울특별시 양천구 남부순환로 430 (신월동),2152244.0
avg_income,bottom,2,강북구청사거리,강북구,서울특별시 강북구 도봉로 365 (수유동),2205999.0
avg_income,bottom,3,수유역5번출구,강북구,"서울특별시 강북구 도봉로 315 (수유동, 에피소드 수유 838)",2205999.0
avg_income,bottom,4,중화역,중랑구,서울특별시 중랑구 봉화산로 35 1층,2253552.0
avg_income,bottom,5,수유역,강북구,서울특별시 강북구 도봉로 342 (번동),2303972.0
avg_income,bottom,6,미아역,강북구,서울특별시 강북구 도봉로 196 (미아동),2318870.0
avg_income,bottom,7,면목역,중랑구,서울특별시 중랑구 면목로 403 (면목동),2336892.0
avg_income,bottom,8,송파마천사거리DT,송파구,서울특별시 송파구 거마로 78 (마천동),2339431.0
avg_income,bottom,9,독산사거리,금천구,서울특별시 금천구 시흥대로 426 (독산동),2386851.0
avg_income,bottom,10,중곡역,광진구,"서울특별시 광진구 능동로 400 (중곡동) 1층 108,109,110,111,112,118 6개호실",2390961.0
num_offices,top,1,여의도ABL타워,영등포구,서울특별시 영등포구 의사당대로 147 (여의도동) 알리안츠타워,250897.0
num_offices,top,2,여의도한양증권,영등포구,서울특별시 영등포구 국제금융로6길 7 (여의도동) 한양증권,250897.0
num_offices,top,3,여의도일신,영등포구,서울특별시 영등포구 은행로 11 (여의도동) 1층 1부,250897.0
num_offices,top,4,여의도,영등포구,서울특별시 영등포구 국제금융로2길 28 (여의도동),250897.0
num_offices,top,5,샛강역,영등포구,서울특별시 영등포구 여의대방로 376 (여의도동),250897.0
num_offices,top,6,여의도IFC몰(L1)R,영등포구,서울특별시 영등포구 국제금융로 10 (여의도동)  지하1층 178호,250897.0
num_offices,top,7,국회대로,영등포구,서울특별시 영등포구 국회대로 786 (여의도동),250897.0
num_offices,top,8,여의도KBS R,영등포구,서울특별시 영등포구 의사당대로 26 (여의도동),250897.0
num_offices,top,9,여의도공원R,영등포구,서울특별시 영등포구 여의공원로 101 (여의도동),250897.0
num_offices,top,10,동여의도,영등포구,서울특별시 영등포구 국제금융로 86 (여의도동) 롯데캐슬 아이비,250897.0
num_offices,bottom,1,월계역,노원구,"서울특별시 노원구 초안산로2라길26 월계동(104,105,106호)",29.0
num_offices,bottom,2,경희대,동대문구,서울특별시 동대문구 경희대로 16-1 (회기동),51.0
num_offices,bottom,3,회기역사거리,동대문구,서울특별시 동대문구 이문로 37 (회기동),51.0
