dataset,label,feature,group,count,missing_count,missing_rate,mean,median,std,min,p01,p05,q1,q3,p95,p99,max,zero_count,zero_rate,skewness,iqr,iqr_lower_bound,iqr_upper_bound,iqr_outlier_count,iqr_outlier_rate
non_starbucks,비스타벅스,num_subway_500m,transport,21624,0,0.0,0.81465,1.0,0.646054,0.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,6704,0.310026,0.397604,1.0,-1.5,2.5,162,0.007492
non_starbucks,비스타벅스,nearest_subway_ridership,transport,21624,0,0.0,52470.720542,38128.0,43248.979237,2665.0,4966.0,8762.0,22430.0,68425.0,128658.0,196027.0,238671.0,0,0.0,1.777504,45995.0,-46562.5,137417.5,1066,0.049297
non_starbucks,비스타벅스,num_bus_stops_300m,transport,21624,0,0.0,9.061413,9.0,4.380349,0.0,1.0,3.0,6.0,12.0,17.0,21.0,32.0,211,0.009758,0.6331,6.0,-3.0,21.0,169,0.007815
non_starbucks,비스타벅스,subway_morning_peak_500m,subway_peak,21624,0,0.0,314950.318257,211499.0,376086.414559,0.0,0.0,0.0,0.0,455973.0,1087533.0,1640619.66,2606832.0,6427,0.297216,1.835534,455973.0,-683959.5,1139932.5,898,0.041528
non_starbucks,비스타벅스,subway_lunch_peak_500m,subway_peak,21624,0,0.0,204118.082177,119374.0,254821.85999,0.0,0.0,0.0,0.0,294481.0,745022.0,1031844.0,1722940.0,6427,0.297216,1.853429,294481.0,-441721.5,736202.5,1230,0.056881
non_starbucks,비스타벅스,subway_evening_peak_500m,subway_peak,21624,0,0.0,531662.070847,319255.0,657562.044539,0.0,0.0,0.0,0.0,783222.0,1941639.0,2659893.0,4466485.0,6427,0.297216,1.828952,783222.0,-1174833.0,1958055.0,1073,0.049621
non_starbucks,비스타벅스,num_restaurants_500m,commerce,21624,0,0.0,470.311506,409.0,300.074637,1.0,29.0,84.0,247.0,648.0,1053.0,1391.0,1670.0,0,0.0,0.992155,401.0,-354.5,1249.5,488,0.022568
non_starbucks,비스타벅스,num_retail_500m,commerce,21624,0,0.0,353.527701,281.0,298.651819,0.0,26.0,70.0,178.0,425.0,872.0,1678.0,2890.0,1,4.6e-05,3.024026,247.0,-192.5,795.5,1290,0.059656
non_starbucks,비스타벅스,num_convenience_500m,commerce,21624,0,0.0,27.137301,25.0,13.861694,0.0,3.0,8.0,17.0,35.0,54.0,65.0,88.0,34,0.001572,0.749163,18.0,-10.0,62.0,324,0.014983
non_starbucks,비스타벅스,independent_cafe_count_500m,cafe_competition,21624,0,0.0,67.280059,53.0,49.844794,0.0,5.0,12.0,30.0,92.0,171.0,230.0,281.0,28,0.001295,1.335085,62.0,-63.0,185.0,826,0.038198
non_starbucks,비스타벅스,low_price_cafe_count_500m,cafe_competition,21624,0,0.0,3.607103,3.0,2.3284,0.0,0.0,0.0,2.0,5.0,8.0,11.0,15.0,1225,0.05665,0.87682,3.0,-2.5,9.5,427,0.019747
non_starbucks,비스타벅스,other_franchise_cafe_count_500m,cafe_competition,21624,0,0.0,5.771458,5.0,4.679076,0.0,0.0,0.0,2.0,8.0,15.0,20.0,28.0,1281,0.05924,1.189214,6.0,-7.0,17.0,596,0.027562
non_starbucks,비스타벅스,dist_nearest_starbucks,cafe_competition,21624,0,0.0,0.326015,0.244771,0.285735,0.000145,0.004562,0.034765,0.126235,0.445113,0.874436,1.351733,3.000911,0,0.0,1.969099,0.318878,-0.352082,0.92343,900,0.04162
non_starbucks,비스타벅스,avg_income,demographic_economic,21624,0,0.0,3536903.296569,3245251.0,942508.519284,2099146.0,2231978.0,2434279.0,2860315.0,4047702.0,5412484.0,6095160.0,7421305.0,0,0.0,1.028346,1187387.0,1079234.5,5828782.5,406,0.018775
non_starbucks,비스타벅스,num_offices,demographic_economic,21624,0,0.0,27957.40677,5425.0,49146.600637,0.0,100.0,513.0,1871.0,27674.0,120704.0,250897.0,250897.0,11,0.000509,2.750389,25803.0,-36833.5,66378.5,2651,0.122595
non_starbucks,비스타벅스,living_population,demographic_economic,21624,0,0.0,33339.02451,28142.0,19054.208843,3527.0,7062.0,12335.0,19423.0,40957.0,71418.0,98668.0,98668.0,0,0.0,1.505505,21534.0,-12878.0,73258.0,775,0.03584
non_starbucks,비스타벅스,land_price,demographic_economic,21624,0,0.0,7059685.441778,5035104.0,5808200.103528,195882.0,1626112.0,2459888.0,3383253.0,8469330.0,17309515.0,26360008.0,68290599.0,0,0.0,3.671505,5086077.0,-4245862.5,16098445.5,1193,0.05517
