상호명,브랜드,is_starbucks,위도,경도,시군구명,도로명주소,dist_nearest_subway,num_subway_500m,nearest_subway_ridership,num_bus_stops_300m,subway_morning_peak_500m,subway_lunch_peak_500m,subway_evening_peak_500m,num_restaurants_500m,num_retail_500m,num_convenience_500m,independent_cafe_count_500m,low_price_cafe_count_500m,other_franchise_cafe_count_500m,dist_nearest_starbucks,avg_income,num_offices,living_population,land_price
영등포시장교차로,스타벅스,1,37.5204239,126.904446,영등포구,서울특별시 영등포구 영중로 45 (영등포동6가),0.257,1,24335.0,13,131831.0,90193.0,214757.0,868,1040,48,76,7,9,0.111896,3570107.0,14034.0,55426.0,6868933.0
더현대서울(B2)R,스타벅스,1,37.52588346,126.9286582,영등포구,서울특별시 영등포구 여의대로 108 (여의도동),0.3978,1,28961.0,7,140609.0,81688.0,310320.0,484,300,20,82,2,3,0.223044,5590853.0,250897.0,95986.0,13466052.0
여의도브라이튼,스타벅스,1,37.52410062,126.9298173,영등포구,"서울특별시 영등포구 국제금융로 39 (여의도동, 브라이튼 여의도), 1층",0.4302,1,28961.0,9,140609.0,81688.0,310320.0,883,439,23,121,4,7,0.198894,5590853.0,250897.0,95986.0,4646271.0
여의도TP타워,스타벅스,1,37.52140431,126.9232015,영등포구,서울특별시 영등포구 의사당대로 96 (여의도동),0.0957,1,112874.0,3,807865.0,305063.0,1084419.0,639,260,29,98,2,2,0.214928,5590853.0,250897.0,95986.0,13466052.0
당산역사거리,스타벅스,1,37.53414612,126.9011769,영등포구,서울특별시 영등포구 양평로 47 (당산동5가),0.1421,1,78021.0,14,522022.0,283905.0,791875.0,367,207,25,41,4,9,0.153071,4130932.0,15502.0,45568.0,5286143.0
신풍역,스타벅스,1,37.50034696,126.9084384,영등포구,서울특별시 영등포구 신풍로 23 (신길동),0.1349,1,23492.0,12,163066.0,84581.0,214735.0,187,164,17,23,3,3,0.490796,2656511.0,626.0,9596.0,3670041.0
불광역,스타벅스,1,37.609382,126.9303971,은평구,서울특별시 은평구 통일로 715 (대조동),0.1636,1,44202.0,15,288282.0,210924.0,484485.0,460,486,26,50,5,7,0.318573,2535013.0,1871.0,54645.0,4547166.0
구파발사거리,스타벅스,1,37.639617,126.91881,은평구,서울특별시 은평구 진관3로 21 은평엘크루 101동 105-108호,0.3174,1,44554.0,4,284052.0,157417.0,377191.0,150,132,10,12,3,6,0.573467,4070863.0,1216.0,56160.0,3272392.0
연신내역사거리,스타벅스,1,37.61877394,126.9217989,은평구,서울특별시 은평구 통일로 842 (불광동),0.0724,1,74441.0,14,492525.0,303424.0,746651.0,738,454,37,62,5,10,0.143637,3182963.0,1769.0,24288.0,3279735.0
연신내,스타벅스,1,37.62023136,126.9198977,은평구,서울특별시 은평구 통일로 867 (갈현동),0.1782,1,74441.0,14,492525.0,303424.0,746651.0,792,491,44,68,6,10,0.233028,2481200.0,2238.0,17174.0,3342233.0
구파발역,스타벅스,1,37.63446,126.918881,은평구,서울특별시 은평구 진관2로 12,0.2561,1,44554.0,5,284052.0,157417.0,377191.0,152,139,12,13,2,6,0.573467,4070863.0,1216.0,56160.0,3272392.0
은평구청입구,스타벅스,1,37.601042,126.926789,은평구,서울특별시 은평구 은평로 170 (응암동),0.6584,0,8374.0,12,0.0,0.0,0.0,302,179,21,33,2,4,0.578713,2726133.0,2298.0,21909.0,3383253.0
은평이마트,스타벅스,1,37.60037923,126.9202735,은평구,서울특별시 은평구 은평로 111 (응암동),0.4584,1,36074.0,13,246699.0,130723.0,340914.0,418,289,30,55,3,8,0.396952,2726133.0,2298.0,21909.0,3383253.0
구산역,스타벅스,1,37.611745,126.917678,은평구,서울특별시 은평구 연서로 146 (대조동),0.0545,1,14702.0,11,107345.0,58222.0,128687.0,280,228,24,34,2,4,0.74941,2535013.0,1871.0,54645.0,4547166.0
불광역8번출구,스타벅스,1,37.61199,126.9289,은평구,서울특별시 은평구 통일로 746 (불광동),0.155,1,44202.0,12,288282.0,210924.0,484485.0,455,482,25,43,5,9,0.318573,3182963.0,1769.0,24288.0,3279735.0
응암역2번출구,스타벅스,1,37.6006318,126.915779,은평구,서울특별시 은평구 연서로 17 (역촌동),0.2261,1,36074.0,13,246699.0,130723.0,340914.0,374,293,30,49,6,7,0.396952,2521877.0,3452.0,40455.0,3481083.0
수색,스타벅스,1,37.58006407,126.8995624,은평구,서울특별시 은평구 수색로 216 (수색동),0.3588,2,6252.0,5,523211.0,185565.0,639223.0,225,91,13,33,1,4,0.438721,3253972.0,176.0,15025.0,3729223.0
새절역,스타벅스,1,37.58942667,126.9128635,은평구,서울특별시 은평구 증산로 371 (신사동),0.2029,1,25239.0,16,387829.0,199249.0,496684.0,367,303,19,40,3,2,0.971614,2635300.0,863.0,14356.0,2992910.0
더북한산,스타벅스,1,37.65545766,126.9475564,은평구,서울특별시 은평구 대서문길 24-11 (진관동),3.0724,0,15192.0,0,0.0,0.0,0.0,37,32,2,6,0,0,1.1596,4070863.0,1216.0,56160.0,1098262.0
녹번역,스타벅스,1,37.60330762,126.9352857,은평구,"서울특별시 은평구 통일로 636 (녹번동) 110,111,112,113,114,115호",0.2679,1,29214.0,5,210927.0,98044.0,253074.0,110,82,11,16,1,0,0.789784,2956945.0,3725.0,27484.0,3215818.0
진관DT,스타벅스,1,37.6501787,126.9361968,은평구,서울특별시 은평구 연서로 645 (진관동),1.9738,0,15192.0,4,0.0,0.0,0.0,16,5,1,6,0,0,1.1596,4070863.0,1216.0,56160.0,1098262.0
연신내역5번출구,스타벅스,1,37.61813536,126.9203813,은평구,"서울특별시 은평구 연서로 222 (대조동), 1층",0.0987,1,74441.0,16,492525.0,303424.0,746651.0,765,473,38,68,6,10,0.143637,2535013.0,1871.0,54645.0,4547166.0
연합뉴스,스타벅스,1,37.57462714,126.9804754,종로구,서울특별시 종로구 율곡로2길 25 (수송동),0.4515,2,68425.0,6,1380544.0,786145.0,2150968.0,751,548,22,146,5,7,0.111932,3245251.0,109733.0,60219.0,11773694.0
혜화역,스타벅스,1,37.5824779,127.002185,종로구,서울특별시 종로구 대학로12길 4 (동숭동)1~2층,0.0339,1,78724.0,10,335338.0,372353.0,867755.0,727,253,27,138,4,11,0.104868,3148242.0,2730.0,31238.0,4859822.0
경희궁로,스타벅스,1,37.571759,126.972343,종로구,서울특별시 종로구 새문안로3길 15 (당주동),0.4262,2,68425.0,5,1699747.0,1019390.0,2661957.0,687,179,21,129,7,6,0.315518,5007768.0,45215.0,24407.0,17301246.0
강북삼성병원,스타벅스,1,37.56831941,126.966942,종로구,서울특별시 종로구 새문안로 29 (평동) C관 5층,0.2844,1,37452.0,17,316228.0,124373.0,366655.0,426,181,23,63,7,5,0.060013,4616890.0,870.0,8010.0,8628198.0
종로평창동,스타벅스,1,37.60614771,126.9673641,종로구,서울특별시 종로구 평창12길 3 (평창동),2.818,0,36588.0,8,0.0,0.0,0.0,53,64,4,9,2,0,2.638043,4504006.0,14903.0,18158.0,2423525.0
광화문우체국,스타벅스,1,37.57000686,126.9780599,종로구,서울특별시 종로구 종로 6 (서린동),0.1861,2,68425.0,18,1960801.0,1014263.0,2962588.0,1094,374,42,176,7,17,0.112844,3245251.0,109733.0,60219.0,29813570.0
종로R,스타벅스,1,37.5708,126.9834,종로구,서울특별시 종로구 종로 51 (종로2가),0.0826,1,77447.0,15,534715.0,294927.0,858548.0,1490,1040,56,231,10,23,0.130542,3245251.0,109733.0,60219.0,37882535.0
