district,n_cafe,n_starbucks,lat,lon,share_C0,share_C1,share_C2,share_C3,share_C4,dominant_sigungu,dominant_persona,dominant_persona_name,persona_entropy,sb_core_share,weak_access_share,score,score_pct,has_starbucks,score_decile
115,29,0,37.63977415103448,127.06818229655173,0.0,0.0,0.5172413793103449,0.0,0.4827586206896552,노원구,C2,C2 주거생활,0.43030708237344345,0.0,0.4827586206896552,0.625740343915344,67.05882352941175,0,D7
140,9,0,37.60890613888889,126.9583199111111,0.0,0.0,0.0,0.0,1.0,종로구,C4,C4 비역세권,-0.0,0.0,1.0,0.6235543650793652,66.47058823529412,0,D7
88,17,0,37.46429380235294,127.02056264705882,0.0,0.0,0.0,0.0,1.0,서초구,C4,C4 비역세권,-0.0,0.0,1.0,0.6184405363155362,65.88235294117646,0,D7
59,11,1,37.58091747636364,126.89947938181818,0.0,0.0,0.9090909090909091,0.0,0.09090909090909091,은평구,C2,C2 주거생활,0.1892810496109844,0.0,0.09090909090909091,0.6161108465608467,65.29411764705883,1,D7
13,119,4,37.56773201739495,126.81184906470588,0.0,0.0,0.865546218487395,0.0,0.13445378151260504,강서구,C2,C2 주거생활,0.24528209650167646,0.0,0.13445378151260504,0.6101920634920635,64.70588235294117,1,D7
57,17,1,37.63996002117648,126.9192788470588,0.0,0.0,0.7647058823529411,0.0,0.23529411764705882,은평구,C2,C2 주거생활,0.33899696891322245,0.0,0.23529411764705882,0.5981187830687831,64.11764705882354,1,D7
126,9,0,37.55602447,127.02524661111111,0.0,0.0,0.7777777777777778,0.0,0.2222222222222222,성동구,C2,C2 주거생활,0.3291249665273085,0.0,0.2222222222222222,0.5976203703703704,63.52941176470588,0,D7
22,12,2,37.62653662,127.06258991666668,0.0,0.0,1.0,0.0,0.0,노원구,C2,C2 주거생활,-0.0,0.0,0.0,0.5974974867724867,62.94117647058823,1,D7
39,7,2,37.51056857142857,127.00828709999999,0.0,0.0,1.0,0.0,0.0,서초구,C2,C2 주거생활,-0.0,0.0,0.0,0.5967246031746033,62.35294117647059,1,D7
58,18,1,37.63421982277778,126.9197994,0.0,0.0,0.7777777777777778,0.0,0.2222222222222222,은평구,C2,C2 주거생활,0.3291249665273085,0.0,0.2222222222222222,0.5904255291005291,61.76470588235294,1,D7
148,5,0,37.65824126,127.03296522000001,0.0,0.0,0.0,0.0,1.0,도봉구,C4,C4 비역세권,-0.0,0.0,1.0,0.5903579365079366,61.1764705882353,0,D7
83,6,0,37.557549816666665,127.04750773333332,0.0,0.0,1.0,0.0,0.0,성동구,C2,C2 주거생활,-0.0,0.0,0.0,0.5841514550264552,60.588235294117645,0,D7
18,44,1,37.54798235636363,127.10568815454545,0.0,0.0,0.7045454545454546,0.0,0.29545454545454547,광진구,C2,C2 주거생활,0.377127695836558,0.0,0.29545454545454547,0.5710103174603175,60.0,1,D6
